Group.1,n
"30003.Other, Non-Hispanic",5362
"30003.White, Non-Hispanic",3035
"30005.Black, Non-Hispanic",27
30005.Hispanic,158
"30005.Other, Non-Hispanic",2165
"30005.White, Non-Hispanic",2360
"30007.Black, Non-Hispanic",5
30007.Hispanic,138
"30007.Other, Non-Hispanic",162
"30007.White, Non-Hispanic",4483
"30009.Black, Non-Hispanic",33
30009.Hispanic,190
"30009.Other, Non-Hispanic",223
"30009.White, Non-Hispanic",8273
"30011.Black, Non-Hispanic",0
30011.Hispanic,0
"30011.Other, Non-Hispanic",20
"30011.White, Non-Hispanic",1024
"30013.Black, Non-Hispanic",864
30013.Hispanic,2379
"30013.Other, Non-Hispanic",4774
"30013.White, Non-Hispanic",55263
"30015.Black, Non-Hispanic",14
30015.Hispanic,79
"30015.Other, Non-Hispanic",818
"30015.White, Non-Hispanic",3465
"30017.Black, Non-Hispanic",18
30017.Hispanic,262
"30017.Other, Non-Hispanic",304
"30017.White, Non-Hispanic",8569
"30019.Black, Non-Hispanic",0
30019.Hispanic,43
"30019.Other, Non-Hispanic",53
"30019.White, Non-Hispanic",1240
"30021.Black, Non-Hispanic",70
30021.Hispanic,275
"30021.Other, Non-Hispanic",220
"30021.White, Non-Hispanic",6540
"30023.Black, Non-Hispanic",53
30023.Hispanic,174
"30023.Other, Non-Hispanic",354
"30023.White, Non-Hispanic",7075
"30025.Black, Non-Hispanic",1
30025.Hispanic,23
"30025.Other, Non-Hispanic",104
"30025.White, Non-Hispanic",2066
"30027.Black, Non-Hispanic",12
30027.Hispanic,101
"30027.Other, Non-Hispanic",369
"30027.White, Non-Hispanic",8393
"30029.Black, Non-Hispanic",378
30029.Hispanic,1926
"30029.Other, Non-Hispanic",2657
"30029.White, Non-Hispanic",72961
"30031.Black, Non-Hispanic",305
30031.Hispanic,2779
"30031.Other, Non-Hispanic",3518
"30031.White, Non-Hispanic",79811
"30033.Black, Non-Hispanic",7
30033.Hispanic,1
"30033.Other, Non-Hispanic",0
"30033.White, Non-Hispanic",816
"30035.Black, Non-Hispanic",39
30035.Hispanic,178
"30035.Other, Non-Hispanic",5960
"30035.White, Non-Hispanic",3219
"30037.Black, Non-Hispanic",0
30037.Hispanic,26
"30037.Other, Non-Hispanic",27
"30037.White, Non-Hispanic",570
"30039.Black, Non-Hispanic",3
30039.Hispanic,13
"30039.Other, Non-Hispanic",26
"30039.White, Non-Hispanic",2641
"30041.Black, Non-Hispanic",57
30041.Hispanic,343
"30041.Other, Non-Hispanic",2618
"30041.White, Non-Hispanic",8872
"30043.Black, Non-Hispanic",33
30043.Hispanic,131
"30043.Other, Non-Hispanic",386
"30043.White, Non-Hispanic",8854
"30045.Black, Non-Hispanic",0
30045.Hispanic,16
"30045.Other, Non-Hispanic",44
"30045.White, Non-Hispanic",1495
"30047.Black, Non-Hispanic",63
30047.Hispanic,764
"30047.Other, Non-Hispanic",5837
"30047.White, Non-Hispanic",16189
"30049.Black, Non-Hispanic",128
30049.Hispanic,1438
"30049.Other, Non-Hispanic",2320
"30049.White, Non-Hispanic",49303
"30051.Black, Non-Hispanic",0
30051.Hispanic,29
"30051.Other, Non-Hispanic",1
"30051.White, Non-Hispanic",1788
"30053.Black, Non-Hispanic",7
30053.Hispanic,399
"30053.Other, Non-Hispanic",603
"30053.White, Non-Hispanic",14968
"30055.Black, Non-Hispanic",0
30055.Hispanic,21
"30055.Other, Non-Hispanic",29
"30055.White, Non-Hispanic",1319
"30057.Black, Non-Hispanic",16
30057.Hispanic,331
"30057.Other, Non-Hispanic",195
"30057.White, Non-Hispanic",6497
"30059.Black, Non-Hispanic",1
30059.Hispanic,13
"30059.Other, Non-Hispanic",40
"30059.White, Non-Hispanic",1471
"30061.Black, Non-Hispanic",23
30061.Hispanic,43
"30061.Other, Non-Hispanic",193
"30061.White, Non-Hispanic",3208
"30063.Black, Non-Hispanic",452
30063.Hispanic,2682
"30063.Other, Non-Hispanic",5902
"30063.White, Non-Hispanic",86007
"30065.Black, Non-Hispanic",0
30065.Hispanic,105
"30065.Other, Non-Hispanic",184
"30065.White, Non-Hispanic",3531
"30067.Black, Non-Hispanic",73
30067.Hispanic,361
"30067.Other, Non-Hispanic",419
"30067.White, Non-Hispanic",12621
"30069.Black, Non-Hispanic",0
30069.Hispanic,0
"30069.Other, Non-Hispanic",25
"30069.White, Non-Hispanic",337
"30071.Black, Non-Hispanic",0
30071.Hispanic,74
"30071.Other, Non-Hispanic",352
"30071.White, Non-Hispanic",2702
"30073.Black, Non-Hispanic",8
30073.Hispanic,32
"30073.Other, Non-Hispanic",641
"30073.White, Non-Hispanic",3842
"30075.Black, Non-Hispanic",0
30075.Hispanic,30
"30075.Other, Non-Hispanic",42
"30075.White, Non-Hispanic",1274
"30077.Black, Non-Hispanic",37
30077.Hispanic,119
"30077.Other, Non-Hispanic",459
"30077.White, Non-Hispanic",5209
"30079.Black, Non-Hispanic",0
30079.Hispanic,3
"30079.Other, Non-Hispanic",12
"30079.White, Non-Hispanic",952
"30081.Black, Non-Hispanic",52
30081.Hispanic,995
"30081.Other, Non-Hispanic",1001
"30081.White, Non-Hispanic",32240
"30083.Black, Non-Hispanic",0
30083.Hispanic,389
"30083.Other, Non-Hispanic",430
"30083.White, Non-Hispanic",7546
"30085.Black, Non-Hispanic",24
30085.Hispanic,156
"30085.Other, Non-Hispanic",4172
"30085.White, Non-Hispanic",3077
"30087.Black, Non-Hispanic",15
30087.Hispanic,283
"30087.Other, Non-Hispanic",2164
"30087.White, Non-Hispanic",4074
"30089.Black, Non-Hispanic",21
30089.Hispanic,232
"30089.Other, Non-Hispanic",566
"30089.White, Non-Hispanic",8779
"30091.Black, Non-Hispanic",0
30091.Hispanic,70
"30091.Other, Non-Hispanic",112
"30091.White, Non-Hispanic",2593
"30093.Black, Non-Hispanic",189
30093.Hispanic,1087
"30093.Other, Non-Hispanic",1092
"30093.White, Non-Hispanic",25386
"30095.Black, Non-Hispanic",8
30095.Hispanic,247
"30095.Other, Non-Hispanic",144
"30095.White, Non-Hispanic",6961
"30097.Black, Non-Hispanic",0
30097.Hispanic,83
"30097.Other, Non-Hispanic",115
"30097.White, Non-Hispanic",2778
"30099.Black, Non-Hispanic",30
30099.Hispanic,63
"30099.Other, Non-Hispanic",170
"30099.White, Non-Hispanic",4354
"30101.Black, Non-Hispanic",23
30101.Hispanic,196
"30101.Other, Non-Hispanic",286
"30101.White, Non-Hispanic",3454
"30103.Black, Non-Hispanic",0
30103.Hispanic,4
"30103.Other, Non-Hispanic",29
"30103.White, Non-Hispanic",529
"30105.Black, Non-Hispanic",3
30105.Hispanic,161
"30105.Other, Non-Hispanic",614
"30105.White, Non-Hispanic",5047
"30107.Black, Non-Hispanic",0
30107.Hispanic,56
"30107.Other, Non-Hispanic",45
"30107.White, Non-Hispanic",1501
"30109.Black, Non-Hispanic",0
30109.Hispanic,46
"30109.Other, Non-Hispanic",21
"30109.White, Non-Hispanic",754
"30111.Black, Non-Hispanic",911
30111.Hispanic,5261
"30111.Other, Non-Hispanic",7083
"30111.White, Non-Hispanic",108301
"31001.Black, Non-Hispanic",114
31001.Hispanic,1915
"31001.Other, Non-Hispanic",628
"31001.White, Non-Hispanic",21418
"31003.Black, Non-Hispanic",32
31003.Hispanic,127
"31003.Other, Non-Hispanic",28
"31003.White, Non-Hispanic",4663
"31005.Black, Non-Hispanic",0
31005.Hispanic,1
"31005.Other, Non-Hispanic",8
"31005.White, Non-Hispanic",299
"31007.Black, Non-Hispanic",0
31007.Hispanic,28
"31007.Other, Non-Hispanic",26
"31007.White, Non-Hispanic",505
"31009.Black, Non-Hispanic",0
31009.Hispanic,0
"31009.Other, Non-Hispanic",0
"31009.White, Non-Hispanic",193
"31011.Black, Non-Hispanic",17
31011.Hispanic,63
"31011.Other, Non-Hispanic",34
"31011.White, Non-Hispanic",3937
"31013.Black, Non-Hispanic",101
31013.Hispanic,824
"31013.Other, Non-Hispanic",275
"31013.White, Non-Hispanic",6974
"31015.Black, Non-Hispanic",11
31015.Hispanic,3
"31015.Other, Non-Hispanic",45
"31015.White, Non-Hispanic",1484
"31017.Black, Non-Hispanic",1
31017.Hispanic,32
"31017.Other, Non-Hispanic",46
"31017.White, Non-Hispanic",2336
"31019.Black, Non-Hispanic",438
31019.Hispanic,2754
"31019.Other, Non-Hispanic",979
"31019.White, Non-Hispanic",33521
"31021.Black, Non-Hispanic",18
31021.Hispanic,113
"31021.Other, Non-Hispanic",147
"31021.White, Non-Hispanic",4768
"31023.Black, Non-Hispanic",12
31023.Hispanic,175
"31023.Other, Non-Hispanic",78
"31023.White, Non-Hispanic",5863
"31025.Black, Non-Hispanic",65
31025.Hispanic,543
"31025.Other, Non-Hispanic",431
"31025.White, Non-Hispanic",18618
"31027.Black, Non-Hispanic",13
31027.Hispanic,103
"31027.Other, Non-Hispanic",59
"31027.White, Non-Hispanic",6165
"31029.Black, Non-Hispanic",2
31029.Hispanic,314
"31029.Other, Non-Hispanic",13
"31029.White, Non-Hispanic",2579
"31031.Black, Non-Hispanic",1
31031.Hispanic,76
"31031.Other, Non-Hispanic",317
"31031.White, Non-Hispanic",4041
"31033.Black, Non-Hispanic",30
31033.Hispanic,409
"31033.Other, Non-Hispanic",203
"31033.White, Non-Hispanic",6706
"31035.Black, Non-Hispanic",12
31035.Hispanic,311
"31035.Other, Non-Hispanic",53
"31035.White, Non-Hispanic",4289
"31037.Black, Non-Hispanic",266
31037.Hispanic,2815
"31037.Other, Non-Hispanic",189
"31037.White, Non-Hispanic",4254
"31039.Black, Non-Hispanic",9
31039.Hispanic,516
"31039.Other, Non-Hispanic",84
"31039.White, Non-Hispanic",6140
"31041.Black, Non-Hispanic",16
31041.Hispanic,202
"31041.Other, Non-Hispanic",142
"31041.White, Non-Hispanic",7914
"31043.Black, Non-Hispanic",708
31043.Hispanic,4705
"31043.Other, Non-Hispanic",1050
"31043.White, Non-Hispanic",7840
"31045.Black, Non-Hispanic",345
31045.Hispanic,300
"31045.Other, Non-Hispanic",290
"31045.White, Non-Hispanic",6299
"31047.Black, Non-Hispanic",1045
31047.Hispanic,4951
"31047.Other, Non-Hispanic",272
"31047.White, Non-Hispanic",10961
"31049.Black, Non-Hispanic",1
31049.Hispanic,96
"31049.Other, Non-Hispanic",54
"31049.White, Non-Hispanic",1321
"31051.Black, Non-Hispanic",25
31051.Hispanic,453
"31051.Other, Non-Hispanic",66
"31051.White, Non-Hispanic",3747
"31053.Black, Non-Hispanic",268
31053.Hispanic,2646
"31053.Other, Non-Hispanic",649
"31053.White, Non-Hispanic",24316
"31055.Black, Non-Hispanic",42735
31055.Hispanic,41231
"31055.Other, Non-Hispanic",24639
"31055.White, Non-Hispanic",307737
"31057.Black, Non-Hispanic",1
31057.Hispanic,129
"31057.Other, Non-Hispanic",7
"31057.White, Non-Hispanic",1318
"31059.Black, Non-Hispanic",8
31059.Hispanic,130
"31059.Other, Non-Hispanic",57
"31059.White, Non-Hispanic",4237
"31061.Black, Non-Hispanic",10
31061.Hispanic,56
"31061.Other, Non-Hispanic",37
"31061.White, Non-Hispanic",2325
"31063.Black, Non-Hispanic",6
31063.Hispanic,24
"31063.Other, Non-Hispanic",37
"31063.White, Non-Hispanic",2056
"31065.Black, Non-Hispanic",4
31065.Hispanic,123
"31065.Other, Non-Hispanic",64
"31065.White, Non-Hispanic",3498
"31067.Black, Non-Hispanic",113
31067.Hispanic,289
"31067.Other, Non-Hispanic",287
"31067.White, Non-Hispanic",16021
"31069.Black, Non-Hispanic",3
31069.Hispanic,58
"31069.Other, Non-Hispanic",13
"31069.White, Non-Hispanic",1415
"31071.Black, Non-Hispanic",2
31071.Hispanic,7
"31071.Other, Non-Hispanic",4
"31071.White, Non-Hispanic",1591
"31073.Black, Non-Hispanic",5
31073.Hispanic,71
"31073.Other, Non-Hispanic",17
"31073.White, Non-Hispanic",1568
"31075.Black, Non-Hispanic",3
31075.Hispanic,9
"31075.Other, Non-Hispanic",4
"31075.White, Non-Hispanic",534
"31077.Black, Non-Hispanic",5
31077.Hispanic,27
"31077.Other, Non-Hispanic",17
"31077.White, Non-Hispanic",1773
"31079.Black, Non-Hispanic",1128
31079.Hispanic,10190
"31079.Other, Non-Hispanic",1056
"31079.White, Non-Hispanic",32088
"31081.Black, Non-Hispanic",12
31081.Hispanic,187
"31081.Other, Non-Hispanic",138
"31081.White, Non-Hispanic",6692
"31083.Black, Non-Hispanic",16
31083.Hispanic,52
"31083.Other, Non-Hispanic",34
"31083.White, Non-Hispanic",2486
"31085.Black, Non-Hispanic",0
31085.Hispanic,53
"31085.Other, Non-Hispanic",0
"31085.White, Non-Hispanic",650
"31087.Black, Non-Hispanic",2
31087.Hispanic,7
"31087.Other, Non-Hispanic",4
"31087.White, Non-Hispanic",2158
"31089.Black, Non-Hispanic",14
31089.Hispanic,264
"31089.Other, Non-Hispanic",127
"31089.White, Non-Hispanic",7291
"31091.Black, Non-Hispanic",7
31091.Hispanic,45
"31091.Other, Non-Hispanic",4
"31091.White, Non-Hispanic",522
"31093.Black, Non-Hispanic",10
31093.Hispanic,88
"31093.Other, Non-Hispanic",68
"31093.White, Non-Hispanic",4698
"31095.Black, Non-Hispanic",21
31095.Hispanic,215
"31095.Other, Non-Hispanic",54
"31095.White, Non-Hispanic",5290
"31097.Black, Non-Hispanic",311
31097.Hispanic,368
"31097.Other, Non-Hispanic",162
"31097.White, Non-Hispanic",3359
"31099.Black, Non-Hispanic",3
31099.Hispanic,240
"31099.Other, Non-Hispanic",28
"31099.White, Non-Hispanic",4623
"31101.Black, Non-Hispanic",55
31101.Hispanic,362
"31101.Other, Non-Hispanic",128
"31101.White, Non-Hispanic",5898
"31103.Black, Non-Hispanic",0
31103.Hispanic,5
"31103.Other, Non-Hispanic",3
"31103.White, Non-Hispanic",553
"31105.Black, Non-Hispanic",1
31105.Hispanic,238
"31105.Other, Non-Hispanic",91
"31105.White, Non-Hispanic",2522
"31107.Black, Non-Hispanic",31
31107.Hispanic,132
"31107.Other, Non-Hispanic",537
"31107.White, Non-Hispanic",5692
"31109.Black, Non-Hispanic",9109
31109.Hispanic,13604
"31109.Other, Non-Hispanic",15988
"31109.White, Non-Hispanic",202784
"31111.Black, Non-Hispanic",382
31111.Hispanic,1918
"31111.Other, Non-Hispanic",510
"31111.White, Non-Hispanic",24146
"31113.Black, Non-Hispanic",0
31113.Hispanic,44
"31113.Other, Non-Hispanic",8
"31113.White, Non-Hispanic",619
"31115.Black, Non-Hispanic",0
31115.Hispanic,11
"31115.Other, Non-Hispanic",2
"31115.White, Non-Hispanic",499
"31117.Black, Non-Hispanic",0
31117.Hispanic,6
"31117.Other, Non-Hispanic",0
"31117.White, Non-Hispanic",328
"31119.Black, Non-Hispanic",282
31119.Hispanic,3175
"31119.Other, Non-Hispanic",842
"31119.White, Non-Hispanic",21963
"31121.Black, Non-Hispanic",29
31121.Hispanic,211
"31121.Other, Non-Hispanic",152
"31121.White, Non-Hispanic",5671
"31123.Black, Non-Hispanic",13
31123.Hispanic,474
"31123.Other, Non-Hispanic",71
"31123.White, Non-Hispanic",3090
"31125.Black, Non-Hispanic",7
31125.Hispanic,94
"31125.Other, Non-Hispanic",8
"31125.White, Non-Hispanic",2652
"31127.Black, Non-Hispanic",97
31127.Hispanic,174
"31127.Other, Non-Hispanic",94
"31127.White, Non-Hispanic",5141
"31129.Black, Non-Hispanic",5
31129.Hispanic,71
"31129.Other, Non-Hispanic",46
"31129.White, Non-Hispanic",3233
"31131.Black, Non-Hispanic",65
31131.Hispanic,791
"31131.Other, Non-Hispanic",243
"31131.White, Non-Hispanic",11022
"31133.Black, Non-Hispanic",4
31133.Hispanic,36
"31133.Other, Non-Hispanic",51
"31133.White, Non-Hispanic",2004
"31135.Black, Non-Hispanic",4
31135.Hispanic,70
"31135.Other, Non-Hispanic",13
"31135.White, Non-Hispanic",2094
"31137.Black, Non-Hispanic",30
31137.Hispanic,322
"31137.Other, Non-Hispanic",128
"31137.White, Non-Hispanic",6465
"31139.Black, Non-Hispanic",15
31139.Hispanic,47
"31139.Other, Non-Hispanic",78
"31139.White, Non-Hispanic",5212
"31141.Black, Non-Hispanic",152
31141.Hispanic,3788
"31141.Other, Non-Hispanic",406
"31141.White, Non-Hispanic",20128
"31143.Black, Non-Hispanic",8
31143.Hispanic,172
"31143.Other, Non-Hispanic",40
"31143.White, Non-Hispanic",3806
"31145.Black, Non-Hispanic",53
31145.Hispanic,358
"31145.Other, Non-Hispanic",84
"31145.White, Non-Hispanic",7817
"31147.Black, Non-Hispanic",16
31147.Hispanic,100
"31147.Other, Non-Hispanic",303
"31147.White, Non-Hispanic",5841
"31149.Black, Non-Hispanic",21
31149.Hispanic,17
"31149.Other, Non-Hispanic",7
"31149.White, Non-Hispanic",1103
"31151.Black, Non-Hispanic",235
31151.Hispanic,2220
"31151.Other, Non-Hispanic",318
"31151.White, Non-Hispanic",7955
"31153.Black, Non-Hispanic",5241
31153.Hispanic,10489
"31153.Other, Non-Hispanic",6572
"31153.White, Non-Hispanic",108949
"31155.Black, Non-Hispanic",80
31155.Hispanic,313
"31155.Other, Non-Hispanic",259
"31155.White, Non-Hispanic",15363
"31157.Black, Non-Hispanic",203
31157.Hispanic,5349
"31157.Other, Non-Hispanic",773
"31157.White, Non-Hispanic",20776
"31159.Black, Non-Hispanic",86
31159.Hispanic,296
"31159.Other, Non-Hispanic",257
"31159.White, Non-Hispanic",12527
"31161.Black, Non-Hispanic",60
31161.Hispanic,162
"31161.Other, Non-Hispanic",379
"31161.White, Non-Hispanic",3466
"31163.Black, Non-Hispanic",0
31163.Hispanic,62
"31163.Other, Non-Hispanic",27
"31163.White, Non-Hispanic",2312
"31165.Black, Non-Hispanic",2
31165.Hispanic,25
"31165.Other, Non-Hispanic",14
"31165.White, Non-Hispanic",923
"31167.Black, Non-Hispanic",58
31167.Hispanic,199
"31167.Other, Non-Hispanic",29
"31167.White, Non-Hispanic",4174
"31169.Black, Non-Hispanic",26
31169.Hispanic,71
"31169.Other, Non-Hispanic",43
"31169.White, Non-Hispanic",3764
"31171.Black, Non-Hispanic",0
31171.Hispanic,0
"31171.Other, Non-Hispanic",32
"31171.White, Non-Hispanic",486
"31173.Black, Non-Hispanic",11
31173.Hispanic,170
"31173.Other, Non-Hispanic",2342
"31173.White, Non-Hispanic",2077
"31175.Black, Non-Hispanic",12
31175.Hispanic,131
"31175.Other, Non-Hispanic",46
"31175.White, Non-Hispanic",3078
"31177.Black, Non-Hispanic",128
31177.Hispanic,366
"31177.Other, Non-Hispanic",169
"31177.White, Non-Hispanic",14722
"31179.Black, Non-Hispanic",126
31179.Hispanic,343
"31179.Other, Non-Hispanic",136
"31179.White, Non-Hispanic",6844
"31181.Black, Non-Hispanic",4
31181.Hispanic,109
"31181.Other, Non-Hispanic",48
"31181.White, Non-Hispanic",2571
"31183.Black, Non-Hispanic",0
31183.Hispanic,8
"31183.Other, Non-Hispanic",3
"31183.White, Non-Hispanic",615
"31185.Black, Non-Hispanic",171
31185.Hispanic,415
"31185.Other, Non-Hispanic",236
"31185.White, Non-Hispanic",9762
"32001.Black, Non-Hispanic",443
32001.Hispanic,2167
"32001.Other, Non-Hispanic",1876
"32001.White, Non-Hispanic",14237
"32003.Black, Non-Hispanic",188714
32003.Hispanic,458736
"32003.Other, Non-Hispanic",240731
"32003.White, Non-Hispanic",783370
"32005.Black, Non-Hispanic",286
32005.Hispanic,4232
"32005.Other, Non-Hispanic",2115
"32005.White, Non-Hispanic",33328
"32007.Black, Non-Hispanic",230
32007.Hispanic,8169
"32007.Other, Non-Hispanic",3102
"32007.White, Non-Hispanic",26465
"32009.Black, Non-Hispanic",0
32009.Hispanic,41
"32009.Other, Non-Hispanic",17
"32009.White, Non-Hispanic",316
"32011.Black, Non-Hispanic",1
32011.Hispanic,33
"32011.Other, Non-Hispanic",106
"32011.White, Non-Hispanic",1291
"32013.Black, Non-Hispanic",109
32013.Hispanic,2877
"32013.Other, Non-Hispanic",803
"32013.White, Non-Hispanic",8479
"32015.Black, Non-Hispanic",19
32015.Hispanic,1184
"32015.Other, Non-Hispanic",151
"32015.White, Non-Hispanic",2768
"32017.Black, Non-Hispanic",207
32017.Hispanic,278
"32017.Other, Non-Hispanic",117
"32017.White, Non-Hispanic",3642
"32019.Black, Non-Hispanic",446
32019.Hispanic,6231
"32019.Other, Non-Hispanic",2656
"32019.White, Non-Hispanic",33282
"32021.Black, Non-Hispanic",167
32021.Hispanic,379
"32021.Other, Non-Hispanic",749
"32021.White, Non-Hispanic",2337
"32023.Black, Non-Hispanic",846
32023.Hispanic,4471
"32023.Other, Non-Hispanic",2281
"32023.White, Non-Hispanic",29187
"32027.Black, Non-Hispanic",246
32027.Hispanic,1243
"32027.Other, Non-Hispanic",328
"32027.White, Non-Hispanic",3688
"32029.Black, Non-Hispanic",67
32029.Hispanic,109
"32029.Other, Non-Hispanic",204
"32029.White, Non-Hispanic",2893
"32031.Black, Non-Hispanic",8684
32031.Hispanic,73889
"32031.Other, Non-Hispanic",34006
"32031.White, Non-Hispanic",240632
"32033.Black, Non-Hispanic",554
32033.Hispanic,1165
"32033.Other, Non-Hispanic",383
"32033.White, Non-Hispanic",5588
"32510.Black, Non-Hispanic",897
32510.Hispanic,8762
"32510.Other, Non-Hispanic",2830
"32510.White, Non-Hispanic",31067
"33001.Black, Non-Hispanic",262
33001.Hispanic,665
"33001.Other, Non-Hispanic",1121
"33001.White, Non-Hispanic",47439
"33003.Black, Non-Hispanic",133
33003.Hispanic,496
"33003.Other, Non-Hispanic",750
"33003.White, Non-Hispanic",38992
"33005.Black, Non-Hispanic",555
33005.Hispanic,959
"33005.Other, Non-Hispanic",1690
"33005.White, Non-Hispanic",59149
"33007.Black, Non-Hispanic",758
33007.Hispanic,755
"33007.Other, Non-Hispanic",502
"33007.White, Non-Hispanic",24479
"33009.Black, Non-Hispanic",907
33009.Hispanic,1611
"33009.Other, Non-Hispanic",4155
"33009.White, Non-Hispanic",68393
"33011.Black, Non-Hispanic",8387
33011.Hispanic,18488
"33011.Other, Non-Hispanic",17305
"33011.White, Non-Hispanic",283292
"33013.Black, Non-Hispanic",1470
33013.Hispanic,2250
"33013.Other, Non-Hispanic",4250
"33013.White, Non-Hispanic",112899
"33015.Black, Non-Hispanic",2073
33015.Hispanic,6403
"33015.Other, Non-Hispanic",7741
"33015.White, Non-Hispanic",229939
"33017.Black, Non-Hispanic",1069
33017.Hispanic,2268
"33017.Other, Non-Hispanic",5399
"33017.White, Non-Hispanic",96215
"33019.Black, Non-Hispanic",241
33019.Hispanic,439
"33019.Other, Non-Hispanic",831
"33019.White, Non-Hispanic",33429
"34001.Black, Non-Hispanic",29737
34001.Hispanic,33590
"34001.Other, Non-Hispanic",19584
"34001.White, Non-Hispanic",126108
"34003.Black, Non-Hispanic",44104
34003.Hispanic,136653
"34003.Other, Non-Hispanic",125898
"34003.White, Non-Hispanic",425480
"34005.Black, Non-Hispanic",58866
34005.Hispanic,25063
"34005.Other, Non-Hispanic",24012
"34005.White, Non-Hispanic",243893
"34007.Black, Non-Hispanic",72781
34007.Hispanic,56007
"34007.Other, Non-Hispanic",26868
"34007.White, Non-Hispanic",235226
"34009.Black, Non-Hispanic",3282
34009.Hispanic,4442
"34009.Other, Non-Hispanic",1467
"34009.White, Non-Hispanic",67504
"34011.Black, Non-Hispanic",22611
34011.Hispanic,30496
"34011.Other, Non-Hispanic",3640
"34011.White, Non-Hispanic",58986
"34013.Black, Non-Hispanic",239898
34013.Hispanic,129393
"34013.Other, Non-Hispanic",40087
"34013.White, Non-Hispanic",196659
"34015.Black, Non-Hispanic",23077
34015.Hispanic,11860
"34015.Other, Non-Hispanic",9521
"34015.White, Non-Hispanic",182300
"34017.Black, Non-Hispanic",63447
34017.Hispanic,218394
"34017.Other, Non-Hispanic",87031
"34017.White, Non-Hispanic",163590
"34019.Black, Non-Hispanic",2581
34019.Hispanic,5705
"34019.Other, Non-Hispanic",4724
"34019.White, Non-Hispanic",87007
"34021.Black, Non-Hispanic",57631
34021.Hispanic,44175
"34021.Other, Non-Hispanic",33306
"34021.White, Non-Hispanic",154105
"34023.Black, Non-Hispanic",66266
34023.Hispanic,122128
"34023.Other, Non-Hispanic",156489
"34023.White, Non-Hispanic",300559
"34025.Black, Non-Hispanic",34702
34025.Hispanic,44468
"34025.Other, Non-Hispanic",30699
"34025.White, Non-Hispanic",378649
"34027.Black, Non-Hispanic",13463
34027.Hispanic,47866
"34027.Other, Non-Hispanic",43024
"34027.White, Non-Hispanic",283480
"34029.Black, Non-Hispanic",14625
34029.Hispanic,36031
"34029.Other, Non-Hispanic",12096
"34029.White, Non-Hispanic",391165
"34031.Black, Non-Hispanic",42956
34031.Hispanic,147740
"34031.Other, Non-Hispanic",22809
"34031.White, Non-Hispanic",169649
"34033.Black, Non-Hispanic",6384
34033.Hispanic,3591
"34033.Other, Non-Hispanic",1195
"34033.White, Non-Hispanic",38178
"34035.Black, Non-Hispanic",24809
34035.Hispanic,33845
"34035.Other, Non-Hispanic",46068
"34035.White, Non-Hispanic",151827
"34037.Black, Non-Hispanic",2511
34037.Hispanic,8343
"34037.Other, Non-Hispanic",3119
"34037.White, Non-Hispanic",99073
"34039.Black, Non-Hispanic",92202
34039.Hispanic,125361
"34039.Other, Non-Hispanic",28742
"34039.White, Non-Hispanic",177395
"34041.Black, Non-Hispanic",3492
34041.Hispanic,6813
"34041.Other, Non-Hispanic",3322
"34041.White, Non-Hispanic",71058
"35001.Black, Non-Hispanic",15124
35001.Hispanic,244039
"35001.Other, Non-Hispanic",43442
"35001.White, Non-Hispanic",225693
"35003.Black, Non-Hispanic",0
35003.Hispanic,480
"35003.Other, Non-Hispanic",2
"35003.White, Non-Hispanic",2504
"35005.Black, Non-Hispanic",852
35005.Hispanic,24960
"35005.Other, Non-Hispanic",1226
"35005.White, Non-Hispanic",20665
"35006.Black, Non-Hispanic",237
35006.Hispanic,7795
"35006.Other, Non-Hispanic",8034
"35006.White, Non-Hispanic",4454
"35007.Black, Non-Hispanic",62
35007.Hispanic,4541
"35007.Other, Non-Hispanic",341
"35007.White, Non-Hispanic",4980
"35009.Black, Non-Hispanic",2023
35009.Hispanic,13841
"35009.Other, Non-Hispanic",1703
"35009.White, Non-Hispanic",18959
"35011.Black, Non-Hispanic",15
35011.Hispanic,594
"35011.Other, Non-Hispanic",6
"35011.White, Non-Hispanic",725
"35013.Black, Non-Hispanic",3025
35013.Hispanic,104260
"35013.Other, Non-Hispanic",4672
"35013.White, Non-Hispanic",50497
"35015.Black, Non-Hispanic",691
35015.Hispanic,19377
"35015.Other, Non-Hispanic",965
"35015.White, Non-Hispanic",21376
"35017.Black, Non-Hispanic",168
35017.Hispanic,10231
"35017.Other, Non-Hispanic",656
"35017.White, Non-Hispanic",11034
"35019.Black, Non-Hispanic",34
35019.Hispanic,2528
"35019.Other, Non-Hispanic",216
"35019.White, Non-Hispanic",745
"35021.Black, Non-Hispanic",0
35021.Hispanic,157
"35021.Other, Non-Hispanic",6
"35021.White, Non-Hispanic",217
"35023.Black, Non-Hispanic",45
35023.Hispanic,1858
"35023.Other, Non-Hispanic",70
"35023.White, Non-Hispanic",1376
"35025.Black, Non-Hispanic",1968
35025.Hispanic,26352
"35025.Other, Non-Hispanic",1020
"35025.White, Non-Hispanic",19802
"35027.Black, Non-Hispanic",104
35027.Hispanic,4643
"35027.Other, Non-Hispanic",235
"35027.White, Non-Hispanic",10897
"35028.Black, Non-Hispanic",106
35028.Hispanic,2378
"35028.Other, Non-Hispanic",1251
"35028.White, Non-Hispanic",10645
"35029.Black, Non-Hispanic",287
35029.Hispanic,10943
"35029.Other, Non-Hispanic",299
"35029.White, Non-Hispanic",6189
"35031.Black, Non-Hispanic",389
