Group.1,n
"05047.Black, Non-Hispanic",157
05047.Hispanic,284
"05047.Other, Non-Hispanic",378
"05047.White, Non-Hispanic",12699
"05049.Black, Non-Hispanic",9
05049.Hispanic,177
"05049.Other, Non-Hispanic",237
"05049.White, Non-Hispanic",9284
"05051.Black, Non-Hispanic",6137
05051.Hispanic,3377
"05051.Other, Non-Hispanic",2275
"05051.White, Non-Hispanic",66798
"05053.Black, Non-Hispanic",338
05053.Hispanic,302
"05053.Other, Non-Hispanic",307
"05053.White, Non-Hispanic",13107
"05055.Black, Non-Hispanic",475
05055.Hispanic,752
"05055.Other, Non-Hispanic",625
"05055.White, Non-Hispanic",32064
"05057.Black, Non-Hispanic",4785
05057.Hispanic,1542
"05057.Other, Non-Hispanic",340
"05057.White, Non-Hispanic",9564
"05059.Black, Non-Hispanic",2957
05059.Hispanic,744
"05059.Other, Non-Hispanic",663
"05059.White, Non-Hispanic",22340
"05061.Black, Non-Hispanic",2024
05061.Hispanic,914
"05061.Other, Non-Hispanic",203
"05061.White, Non-Hispanic",6712
"05063.Black, Non-Hispanic",555
05063.Hispanic,1324
"05063.Other, Non-Hispanic",791
"05063.White, Non-Hispanic",25764
"05065.Black, Non-Hispanic",248
05065.Hispanic,259
"05065.Other, Non-Hispanic",283
"05065.White, Non-Hispanic",10362
"05067.Black, Non-Hispanic",1667
05067.Hispanic,305
"05067.Other, Non-Hispanic",948
"05067.White, Non-Hispanic",10667
"05069.Black, Non-Hispanic",29298
05069.Hispanic,942
"05069.Other, Non-Hispanic",1310
"05069.White, Non-Hispanic",22444
"05071.Black, Non-Hispanic",317
05071.Hispanic,2283
"05071.Other, Non-Hispanic",1057
"05071.White, Non-Hispanic",16338
"05073.Black, Non-Hispanic",1940
05073.Hispanic,84
"05073.Other, Non-Hispanic",99
"05073.White, Non-Hispanic",3360
"05075.Black, Non-Hispanic",152
05075.Hispanic,136
"05075.Other, Non-Hispanic",194
"05075.White, Non-Hispanic",12338
"05077.Black, Non-Hispanic",4003
05077.Hispanic,216
"05077.Other, Non-Hispanic",80
"05077.White, Non-Hispanic",3219
"05079.Black, Non-Hispanic",3779
05079.Hispanic,406
"05079.Other, Non-Hispanic",163
"05079.White, Non-Hispanic",7072
"05081.Black, Non-Hispanic",2035
05081.Hispanic,112
"05081.Other, Non-Hispanic",295
"05081.White, Non-Hispanic",7169
"05083.Black, Non-Hispanic",275
05083.Hispanic,421
"05083.Other, Non-Hispanic",719
"05083.White, Non-Hispanic",15511
"05085.Black, Non-Hispanic",3044
05085.Hispanic,2032
"05085.Other, Non-Hispanic",1680
"05085.White, Non-Hispanic",46999
"05087.Black, Non-Hispanic",34
05087.Hispanic,570
"05087.Other, Non-Hispanic",474
"05087.White, Non-Hispanic",11316
"05089.Black, Non-Hispanic",28
05089.Hispanic,259
"05089.Other, Non-Hispanic",372
"05089.White, Non-Hispanic",12852
"05091.Black, Non-Hispanic",7729
05091.Hispanic,950
"05091.Other, Non-Hispanic",903
"05091.White, Non-Hispanic",23622
"05093.Black, Non-Hispanic",10093
05093.Hispanic,1057
"05093.Other, Non-Hispanic",780
"05093.White, Non-Hispanic",19102
"05095.Black, Non-Hispanic",2254
05095.Hispanic,37
"05095.Other, Non-Hispanic",95
"05095.White, Non-Hispanic",3188
"05097.Black, Non-Hispanic",15
05097.Hispanic,241
"05097.Other, Non-Hispanic",342
"05097.White, Non-Hispanic",6707
"05099.Black, Non-Hispanic",2171
05099.Hispanic,2
"05099.Other, Non-Hispanic",115
"05099.White, Non-Hispanic",4162
"05101.Black, Non-Hispanic",2
05101.Hispanic,21
"05101.Other, Non-Hispanic",331
"05101.White, Non-Hispanic",5913
"05103.Black, Non-Hispanic",7285
05103.Hispanic,325
"05103.Other, Non-Hispanic",154
"05103.White, Non-Hispanic",10652
"05105.Black, Non-Hispanic",29
05105.Hispanic,167
"05105.Other, Non-Hispanic",76
"05105.White, Non-Hispanic",7758
"05107.Black, Non-Hispanic",8336
05107.Hispanic,231
"05107.Other, Non-Hispanic",30
"05107.White, Non-Hispanic",5207
"05109.Black, Non-Hispanic",352
05109.Hispanic,450
"05109.Other, Non-Hispanic",139
"05109.White, Non-Hispanic",7476
"05111.Black, Non-Hispanic",758
05111.Hispanic,420
"05111.Other, Non-Hispanic",849
"05111.White, Non-Hispanic",16176
"05113.Black, Non-Hispanic",35
05113.Hispanic,790
